Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments
-,-,-,m,m,m,m,m,m,t,t,t,-,%,knts,%,kW,-,-,t/day,t/day,kW,-,y/n,y/n,m,rpm,y/n,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,m,-,kW (each),-,m3,m3,m3,m3,m3,m3,m3,m$,Y/N,-
Olau Britannia,1990,-,161,144,29,6.5,8.1,-,5118,33336,-,-,0,21.3,-,19600,4, Sulzer 8ZA40S,-,-,7560,2,y,n,-,-,y,y,1,1,-,-,-,2,0,2,-,-,1600,-,1600,-,248,-,-,1490,0,0,2588,-,-,575,-,122,0,-,2,1400,GL,-,-,-,-,-,-,-,-,Y,-
Sabrina,1990,long haul,186.5,171,24.8,6.75,9.5,-,5770,12521,15814,-,5,23.2,-,23830,2, Diesel United Pielstick 9PC40L,-,-,3000,2,y,n,-,-,y,y,2,2,-,-,-,2,3,0,3,1.8,694,-,-,-,53,-,-,1445,-,630,-,-,140,-,4.5,170,-,8.5,1,1320,JG,-,-,-,-,-,-,-,-,Y,-
Silja Serenade,1990,-,202.8,180.7,31.5,6.8,9.3,-,4940,58400,-,-,-,20,-,32580,4, Wartsila Vasa9R46,-,-,14000,2,y,n,-,-,y,y,1,1,-,-,-,1,1,0,4,3.4,2500,-,y,-,264,-,-,-,-,-,-,-,464,52,4.5,0,52,18,2,1800,LR,-,-,-,-,-,-,-,-,Y,-
Ferry Lavender,1991,long haul,192.91,181,29.4,6.75,14.5,-,2689,19904,-,-,0,21.8,90,26400,2, Pielstick 8PC40L,66.3,-,4700,2,y,n,4.45,172,y,y,1,1,-,-,-,2,0,0,3,1.8,796,30,y,86,53,11,-,2520,-,360,-,-,80,-,-,186,-,-,1,1100,JG,760,-,140,-,-,6380,-,-,Y,-
Ishikari,1991,-,192.5,175,27,6.7,9.9,-,6146,31953,-,-,-,21.5,-,29540,2, MAN 14V52/55B,76,-,3600,2,y,n,4.8,-,y,y,1,1,3,5,-,2,3,0,3,1.9,854,-,-,71,76,-,-,-,-,-,-,-,151,-,-,165,-,-,1,-,JG,827,-,149,-,-,4723,-,-,Y,-
Prins Filip,1991,-,163.4,150,27,6.2,9.2,14.4,3899,-,-,-,25,21,85,21120,4, Sulzer 8ZA-40S,-,-,10880,2,y,n,4.7,-,n,y,2,2,1,-,-,2,0,1,3,1.9,1200,-,-,121,-,-,-,1780,0,0,2634,-,-,600,-,0,-,-,2,1500,BV,524,-,211,-,-,1314,-,-,Y,-
Wakanatsu Okinawa,1991,freighter,151.13,138,23,6.4,8.6,13.7,4336,14122,-,-,14,21,-,16200,1, SEMT-Pielstick,42.8,-,4050,1,-,n,-,-,y,y,1,1,-,-,1,3,0,0,2,0.6,150,-,-,24,28,10,-,-,-,-,-,-,180,-,-,42,-,12.2,1,920,JG,503,-,151,-,-,-,-,-,Y,-
Barfleur,1992,-,157.65,-,23.3,5.4,8,-,4130,20000,-,-,-,19.5,85,12400,4, Wartsila 8R32D,-,-,3905,2,y,n,4.3,-,y,y,1,1,-,-,1,2,1,1,4,1.6,1212,-,289,72,92,-,-,2510,1386,0,1500,-,0,304,-,120,66,-,2,600,BV,529,-,147,-,-,741,450,-,Y,-
Frans Suell,1992,long haul,169.4,149.8,27.6,6.25,8.5,14,2962,35285,16562,-,-,21.5,73.6,23760,4, Pielstick 12PC2.6V-400E,-,-,-,2,y,n,4.9,135,y,y,1,2,-,-,-,-,0,2,5,3.9,2216,-,2172,805,193,-,-,1100,0,0,2200,-,462,-,-,0,-,-,2,1100,DNV,683,-,164,-,-,780,-,-,Y,-
Normandie,1992,-,161.4,146.4,26,5.65,-,-,4225,27000,-,-,-,20.5,-,17760,4, Wartsila 12V32E,-,-,7380,2,y,n,4.8,135,y,y,1,1,-,-,1,2,1,0,4,2.5,2120,-,774,217,141,-,-,0,-,2360,-,-,680,0,-,0,135,-,2,900,BV,420,-,170,-,-,1630,440,-,Y,-
Pacific Express,1992,long haul,170,158,25,6.5,10,20.65,5113,11580,-,-,-,26.2,90,34450,2, SEMT-Pielstick 14PC4-2V,129,-,6190,2,y,n,4.8,162,y,y,1,1,-,2,1,-,1,0,3,2.2,660,-,660,62,50,12,-,-,-,-,-,-,90,-,-,100,-,-,2,1100,-,639,-,159,-,-,2583,-,-,Y,-
Caledonian Isles,1993,short haul,94.28,85.2,15.8,3.15,4.5,10.7,600,5221,3138,-,0,15,85,5800,2, Mirlees Blackstone 8MB275,-,-,960,2,y,n,2.35,270,y,n,1,1,-,4,-,1,0,2,2,1.6,1000,1,0,0,28,8,-,370,-,250,-,-,55,-,-,10,-,-,2,485,LR,0,-,115,-,-,-,-,-,Y,-
IBN Battouta 2,1993,short haul,116,103,18.9,5,7.15,12.75,1492,9487,5961,-,-,17.85,80,7000,2, MAN 8L40/54A,27.8,3,2448,2,y,n,3.5,170,y,y,1,1,-,4,-,1,0,1,2,1.7,1300,3,0,0,80,16,-,-,-,-,-,-,283,-,-,29,-,16,1,600,BV,337,-,118,-,-,905,-,-,Y,-
Juan J Sister,1993,long haul/freighter,151.1,133.3,26,6,8.6,14,5585,22400,-,-,-,18,67,12600,4, Wartsila 8R32E,38,9,-,2,y,n,4.5,139,y,y,1,2,-,1,1,3,1,0,3,1.7,550,-,400,139,58,14,-,1680,-,675,-,-,150,-,-,92,-,16,2,550,BV,490,-,152,-,-,850,-,-,Y,-
Kalliste,1993,freighter,165,150,29,6.5,8.9,16.9,6600,29575,-,-,20,20,85,19720,4, Wartsila 16V32D,-,-,6890,2,y,n,-,139,y,y,1,2,-,2,-,2,1,1,3,1.7,202,-,-,98,34,-,-,2375,-,560,-,-,120,-,-,-,-,-,2,1400,BV,1700,-,230,-,-,2000,230,-,Y,-
Kong Harald,1993,-,121.8,103.8,19.2,4.7,7.2,21.4,902,11204,6256,-,-,18,69,9000,4, Krupp MaK 6M552C,-,-,7000,2,y,n,3.34,180,y,y,0,0,1,-,1,0,1,0,4,2.8,490,-,-,230,59,16,-,-,-,-,-,-,50,-,-,-,-,-,2,790,DNV,620,-,60,-,-,750,-,-,Y,-
Las Palmas De Gran Canaria,1993,-,116.8,101.83,20.7,5.3,7.5,12.8,2700,10473,-,-,-,16,85,5280,2, MAN 12V28/32AF,-,-,2100,2,y,n,-,-,y,y,1,1,-,2,-,2,1,0,3,1.8,378,-,78,-,39,-,-,813,-,180,-,-,40,180,-,50,0,16,1,750,BV,-,-,-,-,-,-,-,-,Y,-
Majestic,1993,luxury,188.22,163.05,27.6,6.7,8.3,-,7150,32600,19070,-,-,23,85,23040,4, Sulzer 8ZA-40S,86,-,6450,2,y,n,4.4,-,y,y,0,3,-,1,-,2,2,0,3,2.8,1500,20,750,339,169,-,-,1844,-,295,-,-,-,-,-,-,-,-,1,1000,RINA,1400,-,-,-,-,5000,-,-,Y,-
Pride of Burgundy,1993,-,179.4,170,27.8,6.27,9,14.85,6000,28238,-,-,-,21.5,-,21120,4, Sulzer 8ZA-40S,-,-,7460,2,y,n,4.5,156,y,y,1,2,-,-,-,2,0,0,3,1.7,1320,-,196,79,80,-,-,-,-,-,-,-,530,-,-,120,-,-,2,-,LR,760,-,190,-,-,2828,-,-,Y,-
Spirit of British Columbia,1993,short haul,167.5,156,26.6,5,8,-,3109,18790,11609,-,-,19.5,85,15600,4, MAN 6L40/54,27,-,6375,2,y,n,3.4,215,y,y,1,1,-,-,-,3,0,1,2,1.6,2100,1.5,-,-,52,10,-,0,-,2300,-,-,470,205,-,0,50,-,2,750,ABS,-,-,360,-,-,770,-,-,Y,-
Aretousa,1995,-,177.3,166.4,27,6.3,9.1,20.05,-,28417,-,-,-,23.8,90,31200,4, MAN 8L48/60,150,-,6795,2,y,n,4.9,153,y,y,1,1,-,3,-,2,1,1,3,2.3,1500,-,500,125,102,-,-,0,2250,2853,0,-,634,0,-,0,163,12.5,2,1200,DNV,890,-,75,-,-,950,-,-,Y,-
Bang Chui Dao,1995,-,134.8,125,23.4,5.4,8.6,14,3250,15560,-,-,-,20,85,11520,2, Stork-Wartsila 9SW38,43,-,4640,2,y,n,4,165,y,y,1,1,-,1,-,2,1,1,3,2,938,-,-,169,89,-,-,830,0,100,1160,-,22,226,-,80,0,-,1,900,CCS,463,-,115,-,-,-,-,-,Y,-
Isle of Innisfree,1995,-,181.6,172.3,23.4,5.6,8.6,14.4,5285,22365,-,-,-,22,85,23040,4, Sulzer 8ZAL40S,60,-,6700,2,y,n,4.8,150,y,y,1,1,-,2,-,2,0,1,3,1.5,1650,-,-,34,110,-,-,1810,-,333,-,-,74,605,-,109,0,-,2,1500,LR,680,-,165,-,-,2170,-,-,Y,-
Polonia,1995,train,169.9,159,28,5.9,8.65,14.15,7250,29875,-,-,-,20,-,15840,4, Stork Wartsila 6SW38,-,-,10400,2,y,n,4.3,140,y,y,0,1,1,-,-,2,0,1,3,2.3,920,-,-,204,-,-,-,2200,0,0,2560,740,-,-,-,-,-,-,3,1600,DNV,-,-,-,-,-,-,-,-,Y,-
Robin Hood,1995,-,179.6,166,27.2,6,8.7,16.6,6600,26800,-,-,-,18.5,-,18000,4, MaK 6M552C,-,-,-,2,y,n,4.8,135,y,y,1,1,-,6,-,3,1,0,3,1.8,300,-,-,163,41,-,-,2400,-,0,-,-,0,-,-,150,-,-,2,-,GL,-,-,800,-,-,2500,-,-,Y,-
Superfast I,1995,-,173.7,158,24,6.25,8.8,14.1,5240,23663,15280,-,25,26.8,-,31680,4, Sulzer 12ZA40S,144,8.5,5840,2,y,n,4.9,156,y,y,1,3,-,2,-,2,1,0,3,2.4,1400,20,-,200,100,-,-,1800,-,445,-,-,98,-,-,111,-,-,2,1000,ABS,1360,-,92,-,-,1260,500,-,Y,-
Commodore Clipper,1999,-,129.4,117.58,23.4,5,8.6,14.3,2750,14000,-,-,-,18.55,90,8640,2, MaK 9M32,-,-,5800,2,y,n,-,161,y,y,0,1,-,1,-,2,0,0,3,1.5,500,-,80,20,37,11,-,1235,-,0,-,-,-,280,-,-,92,-,2,1300,DNV,300,-,80,-,-,1850,-,-,Y,-
Finnclipper,1999,-,188.3,170,28.7,6,9,15.1,6800,30500,-,-,-,22,-,23040,4, Sulzer 8ZA40S,-,-,6560,2,y,n,-,-,y,y,1,1,-,2,5,3,1,0,3,1.4,454,-,-,192,40,-,-,2450,-,-,-,-,-,-,-,-,-,-,2,1500,LR,1000,-,400,-,-,2000,-,-,Y,-
Blue Star 1,2000,-,176.1,160.48,25.7,6.35,9.4,15.1,4563,29415,-,-,-,27,75,44480,4, MAN L58/64,-,-,6200,2,y,n,5.4,144,y,y,1,2,-,3,-,2,2,0,3,2.7,1600,-,-,161,112,-,-,1745,-,485,-,-,-,-,-,-,-,-,2,1200,LR,880,-,180,-,-,515,-,-,Y,-
Blue Star Ithaki,2000,-,123.8,111.8,18.9,4.9,7.25,12.25,1858,10193,-,-,-,24.1,85,16560,4, Wartsila 9L32,-,-,-,2,y,n,3.9,185,y,y,1,1,-,2,-,2,0,0,2,1.7,1500,-,-,5,38,-,-,-,-,-,-,-,94,-,-,21,-,-,1,950,BV,483,-,62,-,-,738,-,-,Y,-
European Causeway,2000,-,159.5,148,23.4,5.5,9,15.2,4276,20646,-,-,-,22.7,-,31680,4, Wartsila 12V38,12,-,7200,2,y,n,4.25,182,y,y,1,1,-,2,-,2,1,0,2,1,410,-,-,-,55,-,-,1445,-,325,-,-,-,-,-,-,-,13.5,2,1260,LR,1032,-,124,-,-,2488,-,-,Y,-
Knossos Palace,2000,-,214,181.22,26.4,7,-,15.6,5850,37482,-,-,-,29.5,-,67200,4, Wartsila 16V46C,-,-,11500,2,y,n,5.7,-,y,y,0,2,1,-,-,-,-,-,3,2.8,2190,6,-,216,130,30,-,-,-,-,-,-,700,110,-,-,120,-,2,1300,DNV,1000,-,80,-,-,3000,-,-,Y,-
Olympic Champion,2000,-,204.15,185.4,25.8,6.75,9.8,-,6500,-,-,-,-,29,-,50400,4, Wartsila 12V46C,-,-,-,2,y,n,-,-,y,y,0,2,-,2,-,3,1,0,5,3,1850,-,-,236,70,-,-,2000,-,525,-,-,-,-,-,-,-,-,2,1200,LR,-,-,-,-,-,-,-,-,Y,-
Bithia,2001,luxury,214,192.4,26.4,6.67,10,15.2,5100,36500,-,-,-,23,-,51200,4, Wartsila 12V46C,164,-,8500,2,y,n,5.6,145,y,y,2,0,-,6,-,2,2,0,2,1.9,2700,-,1212,320,77,14,-,900,-,700,-,-,-,-,-,-,-,-,2,1300,RINA,1000,-,80,-,-,3000,-,-,Y,-
European Ambassador,2001,-,169.8,161.6,24,6,9.5,15.7,4884,24206,-,-,-,25.7,90,39600,2, Wartsila 12V38 //  18V38,-,-,7400,2,y,n,4.75,170,y,y,1,1,-,2,-,2,1,0,2,1.4,405,-,222,-,45,17,-,1660,0,290,1950,-,-,-,-,-,-,-,2,1260,LR,1071,-,124,-,-,2669,-,-,Y,-
Golfo Dei Coralli,2001,-,199.4,179.2,25,6.08,8.2,14.2,7100,18450,15925,-,-,22.5,85,18900,2, Wartsila 9L46C,72,14,5400,2,y,n,4.8,131,y,y,0,1,-,2,-,2,1,0,2,0.6,308,-,308,77,23,13,-,2510,-,0,-,-,-,-,-,-,-,-,2,800,RINA,1150,-,80,-,-,5000,-,-,Y,-
