Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments
Hebrides,2001,-,99.4,91.2,15.8,3.2,5.5,11.2,670,5506,3493,-,-,16.8,85,7680,2, Mak 8M32,15,-,3552,1,y,n,2.55,270,y,n,1,1,-,-,-,1,0,2,2,1.4,612,-,-,-,37,13,-,-,-,-,-,-,108,-,-,10,-,-,2,450,LR,-,-,100,-,-,730,-,-,Y,-
Mega Express,2001,-,176.01,159.7,24.8,6.3,9.3,17.6,3500,23700,14500,-,-,29,85,46800,4, Wartsila 12VR46C,-,-,9800,2,y,n,5,155,y,y,1,2,-,-,-,2,2,2,4,2.2,1860,-,-,294,104,-,-,790,-,1710,-,-,-,-,-,-,-,-,2,1600,RINA,1270,-,131,-,-,988,-,-,Y,-
Nils Holgersson,2001,-,190.75,175,29.5,6.2,9.2,14.65,7200,36648,-,-,41,22,-,29880,2, Mak 8M43 //  7M43 //  6M32,-,-,-,2,n,y,4.5,-,y,y,1,1,2,2,1,2,1,0,3,2.3,744,-,640,220,56,10,-,1450,0,1163,2613,-,-,-,-,-,-,-,2,2400,GL,946,-,70,-,-,2644,-,-,Y,-
Olympia Palace,2001,-,214,191.22,26.4,7.1,10,15.5,6300,37150,-,-,-,29.5,-,67200,4, Wartsila 16V46C,-,-,11560,2,y,n,5.7,150,y,y,0,2,-,2,-,2,2,0,3,2.6,1880,-,706,178,120,24,-,2000,-,495,-,-,-,-,-,-,-,-,2,1000,GL,1000,-,80,-,-,3000,-,-,Y,-
Pride of Rotterdam,2001,-,215,203.7,31.5,6.05,9.4,17.3,9268,59925,-,-,57,22,-,37800,4, Wartsila 9L46C,-,-,-,2,y,n,4.9,153,y,y,0,1,-,4,-,3,1,0,5,3,1360,-,-,546,141,-,-,3355,-,1428,-,-,-,-,-,-,-,-,2,2000,LR,1102,-,182,-,-,3907,-,-,Y,-
Prometheus,2001,-,212,198,25,6.6,9.9,15.25,6800,26995,-,-,-,30,-,50400,4, Wartsila 12V46C,178.6,-,9200,2,y,n,5.4,-,y,y,0,2,-,3,0,2,0,0,2,1.3,1000,-,200,52,87,-,-,500,-,1500,-,-,-,-,-,-,-,-,2,1300,GL,900,-,250,-,-,3800,-,-,Y,-
Danielle Casanova,2002,-,176,161.6,30.4,6.62,9.2,18.2,3400,44500,20100,-,90,24.8,80,37800,4, Wartsila 9L46C,150,10,-,2,y,n,5.2,154,y,y,1,2,-,-,-,1,0,1,5,4,2453,-,-,470,174,18,-,0,-,2000,-,-,-,-,-,-,-,-,2,1600,BV,1200,-,350,-,-,2000,-,-,Y,-
Hjaltland,2002,-,125,119,19.5,5.3,8,13.7,1560,12000,7300,-,-,24,85,21600,4, MaK 6M43,-,-,7040,2,y,n,4.1,176,y,y,1,1,-,1,-,1,1,-,2,1.8,600,-,-,100,42,10,-,450,-,115,-,-,-,-,-,-,-,-,2,900,LR,490,-,70,-,-,600,-,-,Y,-
La Superba,2002,-,211.5,186.21,30.4,7.8,10,35.65,9750,50400,-,-,-,28,-,67200,4, Wartsila 16V46C,-,-,9940,2,y,n,5.7,-,y,y,0,1,-,-,-,3,1,1,4,3.5,3000,-,-,567,-,-,-,2780,-,450,-,-,-,-,-,-,-,-,2,1500,RINA,1926,-,362,-,-,7851,-,-,Y,-
Mont St Michel,2002,-,173.95,162.25,28.5,6.2,9,14.85,6300,35592,-,-,-,21,85,21600,4, MaK 6M43,-,-,8060,2,y,n,4.65,155,y,y,1,1,-,1,-,2,1,1,3,2.4,2120,-,788,224,151,11,-,1180,-,2250,-,-,-,-,-,-,-,-,2,1500,BV,700,-,290,-,-,1400,-,-,Y,-
Romantica,2002,-,192.9,175.2,29,6.5,9.7,15.4,4500,39864,-,-,-,22,-,26240,4, Wartsila 16V32,-,-,12780,2,y,n,5,141,y,y,1,2,-,-,-,1,-,-,5,4.3,2500,-,2172,727,172,12,-,0,-,1000,-,-,-,-,-,-,-,-,2,1800,BV,1400,-,200,-,-,2500,-,-,Y,-
Stena Britannica,2002,-,210.8,197.2,29.3,6.3,9.5,15.6,9400,43500,-,-,40,22.2,85,25920,4, MAN 9L40/54,94.6,-,-,2,y,n,4.85,150,y,y,1,1,-,-,-,2,2,1,3,1.2,900,-,598,246,72,-,-,3050,-,450,-,-,-,-,-,-,-,-,2,2200,LR,9600,-,400,-,-,3000,-,-,Y,-
Color Fantasy,2004,cruise,223.7,202.7,35,6.8,9.5,21.9,5600,75000,-,-,-,22.3,90,31200,4,Wartsila 8L46B,-,-,17400,2,y,n,-,-,y,y,1,1,-,-,1,2,1,1,4,3.4,2750,-,-,-,250,-,-,1270,-,2500,-,-,-,-,-,-,-,-,3,2200,DNV,-,-,-,-,-,-,-,-,Y,-
Hamanasu,2004,-,224.82,208,26,7.2,10,20.4,5824,34181,-,-,-,30.5,90,35200,2,Wartsila 12V46C,193,-,-,1,y,y,-,-,y,y,0,3,-,2,-,2,1,0,3,1.7,850,-,-,180,60,10,-,2000,-,300,-,-,-,-,-,-,-,-,2,1200,JG,1247,-,148,-,-,4251,-,-,Y,-
Nuraghes,2004,-,214,192.44,26.4,6.9,10,15.29,3900,40050,-,-,100,29.5,85,51360,4,Wartsila 12V46C,164,,-,2,y,n,5.6,-,y,y,0,2,-,3,-,3,-,1,2,2,2900,-,-,360,90,-,-,2000,-,0,-,-,-,-,-,-,-,-,2,1500,RINA,1000,-,90,-,-,3000,-,-,Y,-
Pont-Aven,2004,-,184.3,170.8,30.9,6.8,-,-,-,41700,-,-,-,27,-,43200,4,MaK 12VM43,-,-,16200,2,y,n,5.2,-,y,y,1,1,-,2,-,1,1,1,5,4.6,2600,-,-,659,183,-,-,0,1440,3500,0,-,-,-,-,-,-,-,2,2000,BV,-,-,-,-,-,-,-,-,Y,-
Tassili II,2004,-,145,130,24,6,8.55,-,2900,-,-,-,-,22,-,25200,2,Wartsila 12V46,-,-,5760,2,y,n,-,-,y,y,1,1,-,4,-,2,-,1,4,3.6,1308,-,1308,-,119,-,-,1350,0,0,1780,-,-,-,-,-,-,-,2,1000,BV,780,-,150,-,-,1200,-,-,Y,-
Volcan De Tamasite,2004,-,142.45,125,24.2,5.7,8.35,13.55,3000,17343,-,-,-,22,90,16800,2,Wartsila 8L46C,67,-,5520,2,y,n,4.2,-,y,y,0,2,-,3,-,2,0,1,2,1.7,1466,-,-,-,34,8,-,1279,-,0,-,-,-,403,-,-,0,-,2,1000,BV,620,-,90,-,-,1685,-,-,Y,-
Cote D'Albatre,2006,-,142.45,125,24.3,5.7,8.35,19.25,3600,18425,-,-,-,22,-,18900,2, Wartsila 9L46C,69,-,6600,2,y,n,4.2,176,y,y,1,2,-,-,-,2,0,1,2,1.7,600,-,198,50,44,8,-,-,-,-,-,-,224,0,-,31,62,16.5,2,1300,BV,697,-,92,-,-,1545,-,-,Y,-
Finnstar,2006,-,218.8,199,30.5,7,9.9,16.15,9300,45000,-,-,100,25,85,41580,4, Wartsila 9L46D,127,8,8000,2,y,n,5.4,150,y,y,1,2,-,-,-,3,1,1,5,1.1,573,-,573,201,50,8,-,4200,-,280,-,-,-,-,-,-,-,-,2,2000,DNV,1114,-,241,-,-,5400,-,-,Y,-
Sinorail Bohai,2006,train,182.6,164.6,24.8,5.8,9,15,6466,24975,-,-,18,18,-,12000,4, MaK 9M25,38,-,-,2,-,y,-,-,y,y,1,0,1,-,-,2,0,0,4,1.1,480,-,-,98,63,-,-,486,-,-,-,735,-,-,-,-,-,-,2,710,CCS,368,-,52,-,-,4498,-,-,Y,-
Star,2007,-,186,170,27.7,6.5,9.5,20.9,4700,36250,-,-,28,27,-,48000,4, MaK 12M43C,195,-,-,2,y,n,5.3,144,-,y,1,1,-,1,-,2,0,0,3,2,1900,-,520,131,100,17,-,2010,-,-,-,-,-,-,-,-,-,-,2,1500,BV,975,-,170,-,-,3250,-,-,Y,-
Armorique,2008,-,168,155,26.8,6.3,9.3,10.3,4200,28500,-,-,-,23,85,48000,4, MaK 12M43C,110,9,9200,2,y,n,4.8,153,-,y,1,1,-,1,-,2,1,0,4,2.4,1500,-,780,248,106,24,-,1100,-,-,-,-,-,-,-,-,-,-,2,1200,BV,790,-,170,-,-,2060,-,-,Y,-
Color Superspeed I,2008,-,212.75,195.3,25.8,6.55,9.4,14.8,5425,34231,-,-,-,27,78.2,38400,4, Wartsila 9L46,185,-,9000,2,y,n,5.25,145,y,y,1,1,-,1,-,2,0,1,3,2.1,1928,-,-,54,71,14,-,2030,-,1035,-,-,-,-,-,-,-,-,2,2400,DNV,1350,-,210,-,-,2800,-,-,Y,-
Cruise Roma,2008,-,225,202,30.4,7,10,21.9,8550,53360,-,-,100,25,76,55440,4, Wartsila 12V46D,115,-,12400,2,y,n,5.6,150,y,y,0,2,-,3,-,2,2,0,5,3.6,1834,-,1834,460,-,-,-,3100,-,970,-,-,-,-,-,-,-,-,2,1850,RINA,1500,-,250,-,-,2000,-,-,Y,-
Martin I Soler,2008,-,165.3,152.5,25.6,5.5,8.5,15.8,4370,24761,-,-,-,21.4,90,18000,2, MaK 9M43C,-,-,6110,2,y,n,4.25,177,y,y,1,2,-,1,-,2,1,1,-,-,1164,-,-,62,36,7,-,-,-,-,-,-,107,334,-,96,65,16,2,1000,BV,660,-,90,-,-,1850,-,-,Y,-
Sunflower Pearl,2008,-,165.5,154.7,27,6,8.4,14.3,4406,20604,-,-,-,23.2,85,18000,2, SEMT-Pielstick 12PC2-6B,68,-,5710,1,y,n,-,-,y,y,1,1,-,3,-,2,2,-,2,1.6,748,-,480,223,34,9,-,2000,0,0,3400,-,-,-,-,-,-,-,1,1250,JG,510,-,150,-,-,1980,-,-,Y,-
Viking XPRS,2008,-,186.71,170.13,27.7,6.55,9.5,15.2,9372,35778,-,-,-,22,85,40000,4, Wartsila 8L46F,115,12,7990,2,y,n,5.3,143,y,y,1,1,-,2,-,2,0,0,4,3.3,2500,-,732,238,105,15,-,1000,-,1250,-,-,-,-,-,-,-,-,2,1500,LR,1090,-,160,-,-,1390,-,-,Y,-
Abel Matutes,2010,-,187,177,26.2,6,9.2,14.54,5300,-,-,-,-,21.4,-,1800,2, MAN 9M43C,-,-,-,2,y,n,4.3,179,y,y,1,2,-,5,-,3,2,0,3,2.4,900,-,-,90,36,8,-,2235,-,1150,-,-,-,-,-,-,-,-,2,1000,BV,573,-,132,-,-,2220,-,-,Y,-
Stena Hollandica,2010,-,240,-,32,6.4,-,-,11600,64000,-,-,-,22,-,33600,2, MAN 48 //  MAN 60,-,-,-,2,y,n,-,-,y,y,-,-,-,5,-,3,1,0,4,3,1200,-,-,538,-,-,-,5500,-,-,-,-,-,-,-,-,-,-,2,3000,LR,-,-,-,-,-,-,-,-,Y,-
Piana,2011,-,180,168.1,30.5,6.7,9.8,15.8,7354,42180,21933,-,5,23.9,85,38400,4, Wartsila 8L46F-CR,145,15,11200,2,y,n,5.2,138,y,y,0,2,-,-,-,3,-,-,-,-,750,-,-,200,56,10,-,2460,-,1143,-,-,-,-,-,-,-,-,2,1900,BV,1670,-,260,-,-,1700,-,-,Y,-
Spirit of Britain,2011,-,213,197.9,30.8,6.55,9.7,15.5,7664,47592,24643,0.658,-,22,85,30400,4, MAN 7L48/60CR,50,5,6020,2,y,n,5.2,-,y,y,1,1,-,2,1,3,0,0,3,2.1,2000,-,0,0,110,20,-,2741,-,1000,-,-,-,-,-,-,-,-,3,300,LR,1230,-,190,-,-,3292,918,-,Y,-
Ferry Naminoue,2012,-,145,135,24,6.2,8.25,14.5,3711,8072,-,0.5,-,21,-,12140,2, SEMT Pielstick 12PC2-6V,52.6,-,-,1,y,n,4.8,-,y,y,0,1,-,4,1,2,1,0,2,1.2,707,-,-,47,25,10,-,-,-,-,-,-,72,-,-,48,-,-,1,-,-,545,-,149,-,-,2394,-,-,Y,-
Silver Princess,2012,-,150,137.5,25,5.7,8,13.15,4315,10536,-,-,-,20.5,-,14400,2, SEMT Pielstick 12PC2-6B,55,-,-,2,y,n,4.2,-,y,y,0,1,1,2,0,2,1,0,2,1,900,-,-,176,20,9,-,-,-,-,-,-,30,-,-,92,-,-,2,-,-,612,-,125,-,-,3056,-,-,Y,-
Tanit,2012,-,210,189.6,30,7.29,10.5,16.62,6126,52.645,-,-,-,27.5,-,57600,4, MAN 12V48/60CR,196,24.5,11400,2,y,n,5.6,-,y,y,1,1,-,-,-,2,1,1,3,2.7,3200,-,-,653,285,-,-,1060,0,349,1400,-,-,-,-,-,-,14.6,2,1750,BV,1780,-,290,-,-,2450,-,-,Y,-
Silver Eight,2013,-,142.59,130,23.4,5.6,-,-,4028,17231,-,0.596,-,20.5,-,13930,2, MAN 7L42MC6.1,46.8,5.2,5130,2,y,n,4,-,y,y,1,1,-,3,0,2,1,0,2,1.7,600,-,-,136,14,-,-,-,-,-,-,-,30,-,-,68,-,-,2,-,JG,-,-,-,-,-,2334,-,-,Y,-
StavangerFjord,2013,-,170,148,27.5,6.35,9.3,-,-,31678,15712,0.5977,-,21.5,-,25600,4,Royce Royce B35:4OV12PG,-,-,-,2,y,n,4.7,-,y,y,0,2,-,-,-,2,0,1,3,2.7,1200,-,-,303,100,-,-,0,-,1350,-,-,-,-,-,-,-,-,2,1600,DNV,-,600,-,-,-,1508,-,-,Y,-
Viking Grace,2013,-,218.5,200,31.8,6.8,9.8,-,-,57565,-,-,-,22,-,29600,4,Wartsila 8L50DF,-,-,-,2,n,n,5.2,-,y,y,1,1,-,-,1,1,1,1,6,4.2,2800,-,-,880,-,-,-,0,-,1275,-,-,-,-,-,-,-,-,2,2300,LR,470,400,178,-,-,1450,670,-,Y,-
Berkarar,2014,-,155.8,149,17.5,4.35,7.2,12.2,2400,9791,-,-,-,17.6,90,6120,2,Wartsila 9L26,27.4,-,-,2,y,n,3.2,200,y,n,0,2,-,-,-,2,0,0,2,1.1,200,-,-,34,34,7,-,970,-,-,-,-,-,-,-,-,-,-,1,500,RMRS,-,-,164,-,-,1430,-,-,Y,-
F.A. Gauthier,2014,-,133.2,119.92,22,5.57,8,25.8,1840,16200,10080,0.652,100,20,-,20880,4,Wartsila 12V34DF,78.8,-,-,2,-,y,-,-,y,y,1,1,-,-,-,2,0,2,2,1.6,755,-,-,-,45,-,-,1240,-,-,-,-,-,-,-,-,-,-,2,1500,LR,-,500,350,-,-,950,-,-,Y,-
Loch Seaforth,2014,-,117.9,111.45,19.2,4.8,7,13.25,1434,8680,-,-,45,19.2,-,8000,2,Wartsila 8L32,28.7,2.8,-,2,y,n,4.1,-,y,y,1,1,-,-,1,1,0,2,2,1.5,700,-,-,-,42,13,-,-,-,-,-,-,143,-,-,20,-,18,2,900,LR,264,-,48,-,-,565,-,68,Y,-
San Sha 1 Hao,2014,-,122.3,109.4,21,5.2,7.8,14,2480,12580,7800,0.6,5,18,90,9200,2,MAN 9L32/40,30,4.7,-,2,y,n,4.2,-,y,y,0,1,-,-,-,1,0,0,2,1.8,450,-,-,145,81,7,350,-,,-,,-,-,,-,-,,-,1,700,CCS,700,-,180,-,-,780,-,-,Y,-
